Part Number,Description,Status,Pin & Package,CPU,Flash (KB),SRAM(kB),Max Speed (MHz),Motion PWM Outputs,QEI,GPIOs,Operating Temperature Range (°C),"USB D, H/D, or OTG",SSI/SPI,Quad SSI/SPI,I2C,UART,ADC Channels,ADC Resolution(Bits),CAN MAC
TM4C1233D5PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,64,24,80,0,0,43,-40 to 85,D,4,0,4,8,12,12,1
TM4C1233C3PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,32,12,80,0,0,43,-40 to 85,D,4,0,4,8,12,12,1
TM4C1232H6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,256,32,80,0,0,49,-40 to 85,D,4,0,6,8,12,12,1
TM4C1232E6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,128,32,80,0,0,49,-40 to 85,D,4,0,6,8,12,12,1
TM4C1232D5PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,64,24,80,0,0,49,-40 to 85,D,4,0,6,8,12,12,1
TM4C1232C3PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,32,12,80,0,0,49,-40 to 85,D,4,0,6,8,12,12,1
TM4C1231H6PZ,Tiva C Series Microcontroller,ACTIVE,100LQFP,ARM Cortex-M4,256,32,80,0,0,69,-40 to 85,No,4,0,6,8,22,12,1
TM4C1231H6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,256,32,80,0,0,43,-40 to 85,No,4,0,4,8,12,12,1
TM4C1231H6PGE,Tiva C Series Microcontroller,ACTIVE,144LQFP,ARM Cortex-M4,256,32,80,0,0,105,-40 to 85,No,4,0,6,8,24,12,1
TM4C1231E6PZ,Tiva C Series Microcontroller,ACTIVE,100LQFP,ARM Cortex-M4,128,32,80,0,0,69,-40 to 85,No,4,0,6,8,22,12,1
TM4C1231E6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,128,32,80,0,0,43,-40 to 85,No,4,0,4,8,12,12,1
TM4C1231D5PZ,Tiva C Series Microcontroller,ACTIVE,100LQFP,ARM Cortex-M4,64,24,80,0,0,69,-40 to 85,No,4,0,6,8,22,12,1
TM4C1231D5PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,64,24,80,0,0,43,"-40 to 105, -40 to 85",No,4,0,4,8,12,12,1
TM4C1231C3PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,32,12,80,0,0,43,-40 to 85,No,4,0,4,8,12,12,1
TM4C1230H6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,256,32,80,0,0,49,-40 to 85,No,4,0,6,8,12,12,1
TM4C1230E6PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,128,32,80,0,0,49,-40 to 85,No,4,0,6,8,12,12,1
TM4C1230D5PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,64,24,80,0,0,49,-40 to 85,No,4,0,6,8,12,12,1
TM4C1230C3PM,Tiva C Series Microcontroller,ACTIVE,64LQFP,ARM Cortex-M4,32,12,80,0,0,49,-40 to 85,No,4,,6,8,12,12,1
