Part Number,Package,Package,Core,Operating Frequency (MHz) (Processor speed),FLASH Size (Prog),Data0E2PROM0(B),Internal RAM Size,Timers (16 bit) typ,Timers (32 bit) typ,Other timer functions,A/D Converters (12-bit channels) default,A/D Converters (16-bit channels) default,D/A Converters  (12 bit),Comparator,I/Os (High Current),Display controller ,Integrated op-amps,I2C,SPI,I2S,CAN ,USB Type,USART ,UART,Additional Serial Interfaces,Parallel Interfaces ,Crypto-HASH ,TRNG,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (Lowest power mode) typ,Supply Current (µA) (Run mode (per Mhz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max,,,,,,,,,,,,,,,
STM32F207IE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207IF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207IG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F207VC,Active,Active,ARM Cortex-M3,120,256,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F207VE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207VF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207VG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F207ZC,Active,Active,ARM Cortex-M3,120,256,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F207ZE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207ZF,Active,Active,ARM Cortex-M3,120,768,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,85,,,,,,,,,,,,,
STM32F207ZG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,-0,-0,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,,,,
STM32F215RE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F215RG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F215VE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F215VG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,
STM32F215ZE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F215ZG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,
STM32F217IE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F217IG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,
STM32F217VE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F217VG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F217ZE,Active,Active,ARM Cortex-M3,120,512,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,105,85,,,,,,,,,
STM32F217ZG,Active,Active,ARM Cortex-M3,120,1024,0,128,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,2,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,SDIO,AES,DES/TDES,MD5,SHA,true,1.8,3.6,2.5,188,-40,85,,,,,,,,,,
STM32F401CB,Active,Active,ARM Cortex-M4,84,128,0,64,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,-0,-0,-0,1.7,3.6,1.8,128,-40,105,125,85,,,,,,,,,,,
STM32F401CC,Active,Active,ARM Cortex-M4,84,256,0,64,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,-0,-0,-0,1.7,3.6,1.8,128,-40,105,85,,,,,,,,,,,,
STM32F401CD,Active,Active,ARM Cortex-M4,84,384,0,96,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,-0,-0,-0,1.7,3.6,1.8,137,-40,85,,,,,,,,,,,,,
STM32F401CE,Active,Active,ARM Cortex-M4,84,512,0,96,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,-0,-0,-0,1.7,3.6,1.8,137,-40,85,,,,,,,,,,,,,
STM32F401RB,Active,Active,ARM Cortex-M4,84,128,0,64,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.7,1.8,128,-40,85,,,,,,,,,,,,
STM32F401RC,Active,Active,ARM Cortex-M4,84,256,0,64,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,128,-40,105,85,,,,,,,,,,,,
STM32F401RD,Active,Active,ARM Cortex-M4,84,384,0,96,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,137,-40,85,,,,,,,,,,,,,
STM32F401RE,Active,Active,ARM Cortex-M4,84,512,0,96,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,3,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,137,-40,105,85,,,,,,,,,,,,
STM32F401VB,Active,Active,ARM Cortex-M4,84,128,0,64,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,4,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,128,-40,85,,,,,,,,,,,,,
STM32F401VC,Active,Active,ARM Cortex-M4,84,256,0,64,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,4,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,128,-40,105,85,,,,,,,,,,,,
STM32F401VD,Active,Active,ARM Cortex-M4,84,384,0,96,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,4,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,137,-40,85,,,,,,,,,,,,,
STM32F401VE,Active,Active,ARM Cortex-M4,84,512,0,96,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,4,2,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,137,-40,85,,,,,,,,,,,,,
STM32F405OE,Active,Active,ARM Cortex-M4,168,512,0,192,12,2,2 x WDG,24-bit down counter,RTC,13,-0,2,-0,72,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,85,,,,,,,,,,,,
STM32F405OG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,13,-0,2,-0,72,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,85,,,,,,,,,,,,
STM32F405RG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,51,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F405VG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F405ZG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,-0,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F407IE,Active,Active,ARM Cortex-M4,168,512,0,192,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F407IG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,140,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F407VE,Active,Active,ARM Cortex-M4,168,512,0,192,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,85,,,,,,,,,,,,
STM32F407VG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,16,-0,2,-0,82,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F407ZE,Active,Active,ARM Cortex-M4,168,512,0,192,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F407ZG,Active,Active,ARM Cortex-M4,168,1024,0,192,12,2,2 x WDG,24-bit down counter,RTC,24,-0,2,-0,114,-0,-0,3,3,2,2,USB OTG FS + USB OTG FS/HS,4,2,Ethernet,FSMC,SD/MMC,-0,true,1.8,3.6,1.7,215,-40,105,85,,,,,,,,,,,
STM32F410C8,Active,Active,ARM Cortex-M4,100,64,0,32,5,1,24-bit downcounter,2xWDG,RTC,10,-0,1,-0,36,-0,-0,3,3,3,-0,-0,3,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,85,,,,,,,,,,,,,
STM32F410CB,Active,Active,ARM Cortex-M4,100,128,0,32,5,1,24-bit downcounter,2xWDG,RTC,10,-0,1,-0,36,-0,-0,3,3,3,-0,-0,3,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,125,85,,,,,,,,,,,,
STM32F410R8,Active,Active,ARM Cortex-M4,100,64,0,32,5,1,24-bit downcounter,2xWDG,RTC,16,-0,1,-0,50,-0,-0,3,3,3,-0,-0,3,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,85,,,,,,,,,,,,,
STM32F410RB,Active,Active,ARM Cortex-M4,100,128,0,32,5,1,24-bit downcounter,2xWDG,RTC,16,-0,1,-0,50,-0,-0,3,3,3,-0,-0,3,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,105,125,85,,,,,,,,,,,
STM32F410T8,Active,Active,ARM Cortex-M4,100,64,0,32,5,1,24-bit downcounter,2xWDG,RTC,4,-0,1,-0,23,-0,-0,2,1,3,-0,-0,2,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,85,,,,,,,,,,,,,
STM32F410TB,Active,Active,ARM Cortex-M4,100,128,0,32,5,1,24-bit downcounter,2xWDG,RTC,4,-0,1,-0,23,-0,-0,2,1,3,-0,-0,2,-0,-0,-0,-0,-0,1.7,3.6,2.6,89,-40,105,125,85,,,,,,,,,,,
STM32F411CC,Active,Active,ARM Cortex-M4,100,256,0,128,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,85,,,,,,,,,,,,,
STM32F411CE,Active,Active,ARM Cortex-M4,100,512,0,128,6,2,24-bit downcounter,2xWDG,RTC,10,-0,-0,-0,36,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,105,125,85,,,,,,,,,,,
STM32F411RC,Active,Active,ARM Cortex-M4,100,256,0,128,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,105,85,,,,,,,,,,,,
STM32F411RE,Active,Active,ARM Cortex-M4,100,512,0,128,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,50,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,105,85,,,,,,,,,,,,
STM32F411VC,Active,Active,ARM Cortex-M4,100,256,0,128,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,85,,,,,,,,,,,,,
STM32F411VE,Active,Active,ARM Cortex-M4,100,512,0,128,6,2,24-bit downcounter,2xWDG,RTC,16,-0,-0,-0,81,-0,-0,3,5,5,-0,USB OTG FS,3,-0,-0,SDIO,-0,-0,1.7,3.6,1.8,100,-40,85,,,,,,,,,,,,,
STM32F412CE,Active,Active,ARM Cortex-M4,100,512,0,256,12,2,2xWDG,RTC,SysTick,10,-0,-0,-0,36,-0,-0,4,5,5,2,USB OTG FS,3,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F412CG,Active,Active,ARM Cortex-M4,100,1024,0,256,12,2,2xWDG,RTC,SysTick,10,-0,-0,-0,36,-0,-0,4,5,5,2,USB OTG FS,3,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F412RE,Active,Active,ARM Cortex-M4,100,512,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,50,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F412RG,Active,Active,ARM Cortex-M4,100,1024,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,50,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F412VE,Active,Active,ARM Cortex-M4,100,512,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,81,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,125,,,,,,,,,,
STM32F412VG,Active,Active,ARM Cortex-M4,100,1024,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,81,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F412ZE,Active,Active,ARM Cortex-M4,100,512,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,114,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,125,85,,,,,,,,,
STM32F412ZG,Active,Active,ARM Cortex-M4,100,1024,0,256,12,2,2xWDG,RTC,SysTick,16,-0,-0,-0,114,-0,-0,4,5,5,2,USB OTG FS,4,-0,-0,DFSDM,FMC,Quad SPI,SDIO,-0,-0,1.7,3.6,1.1,112,-40,85,,,,,,,,,,
STM32F413CG,Active,Active,ARM Cortex-M4,100,1024,0,320,13,2,2xWDG,RTC,SysTick,10,-0,2,-0,36,-0,-0,3,5,5,3,USB OTG FS,3,3,SAI,DFSDM,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,,,
STM32F413CH,Active,Active,ARM Cortex-M4,100,1536,0,320,13,2,2xWDG,SysTick,RTC,10,-0,2,-0,36,-0,-0,3,5,5,3,USB OTG FS,3,3,SAI,DFSDM,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,,,
STM32F413MG,Active,Active,ARM Cortex-M4,100,1024,0,320,13,2,2xWDG,SysTick,RTC,16,-0,2,-0,60,-0,-0,3,5,5,3,USB OTG FS,4,3,SAI,DFSDM,FSMC,Quad SPI,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,
STM32F413MH,Active,Active,ARM Cortex-M4,100,1536,0,320,13,2,2xWDG,SysTick,RTC,16,-0,2,-0,60,-0,-0,3,5,5,3,USB OTG FS,4,3,SAI,DFSDM,FSMC,Quad SPI,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,
STM32F413RG,Active,Active,ARM Cortex-M4,100,1024,0,320,13,2,2xWDG,SysTick,RTC,16,-0,2,-0,50,-0,-0,3,5,5,3,USB OTG FS,4,3,SAI,DFSDM,FSMC,Quad SPI,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,
STM32F413RH,Active,Active,ARM Cortex-M4,100,1536,0,320,13,2,2xWDG,RTC,SysTick,16,-0,2,-0,50,-0,-0,3,5,5,3,USB OTG FS,4,3,SAI,DFSDM,FSMC,Quad SPI,SD/MMC,SDIO,-0,true,1.7,3.6,1.1,112,-40,125,85,,,,,,,,
